"ID","Description","Rationale","Source","Type","Parent","Owner_agent","Priority","VV_Method","VV_Status","Phase","Trade_Study","Risk","Confidence","Falsifying_Observation"
"StNeed-001","Regione Liguria + PC + ARPA: mappe ad alta risoluzione (≤0.5m GSD) versanti a rischio aree SNAI, settimanale stagione piovosa, mensile altrimenti","Prevenzione rischio idrogeologico","PSNAI 2025 + DGR Liguria","StNeed","-","snai-funding-expert","H","-","-","Pre-A","-","RSK-MKT-003,RSK-OPS-002","medium","Regione non firma LoI entro M+10 → re-design anchor customer"
"StNeed-002","PC + VVF + CC Forestali + Enti Parco: alert hotspot termico (≥40°C) entro 5 min, localizzazione GPS + thumbnail","Tempestività intervento antincendio boschivo","Protocollo PC Liguria + CC Forestali","StNeed","-","snai-funding-expert","H","-","-","Pre-A","-","RSK-OPS-002","medium","PC dichiara latency 5min non sufficiente → re-design SyR-F-003"
"StNeed-003","PC + Comune Torriglia + Comunità Pentema: connettività mobile/dati backup, disponibilità ≥99% durante crisi","Resilienza comunicazioni in emergenza","Workshop PC Liguria","StNeed","-","snai-funding-expert","M","-","-","Pre-A","-","RSK-REG-005","medium","AGCOM nega banda licensing → declass UC-003 a opportunistico"
"StNeed-004","PC + CC Forestali: osservazione aerea persistente + payload termico per SAR persone disperse","Supporto operazioni SAR montane","Protocollo SAR PC/CC","StNeed","-","snai-funding-expert","M","-","-","Pre-A","-","-","medium","SAR operato in-house VVF, no servizio commerciale → mercato piccolo"
"StNeed-005","Fabrica + 10 cooperative: mappe topografiche annuali territorio operativo, accuratezza ≤2m","Servizi forestali, agroforestali, manutenzione verde","Workshop cooperative M+0-3","StNeed","-","business-model-strategist","M","-","-","Pre-A","-","-","low-medium","<8/10 cooperative aderiscono → re-design partnership"
"StNeed-006","Cooperative agricole: mappe multispettrali NDVI/NDRE quindicinali in stagione vegetativa","Fertirrigazione + rilevamento patogeni","Workshop cooperative agricole","StNeed","-","earth-observation-expert","M","-","-","Pre-A","-","RSK-MKT-004","low","Pricing target €5-50k/anno < OpEx allocato → UC-005 non scalabile"
"StNeed-007","Cooperative + comunità rurali: connettività dati ≥10 Mbps in aree senza copertura","Servizi essenziali (e-banking, telemedicina, formazione)","Dossier SNAI Liguria + indagine 2026","StNeed","-","telecom-ntn-payload-expert","M","-","-","Pre-A","-","RSK-MKT-005","medium","Starlink consumer copre già aree Pentema → competizione"
"StNeed-008","Comunità Pentema + Garante: no sorveglianza personale, no identificazione volti/targhe in archivi","Privacy + accettabilità sociale","Principi GDPR + best practice Garante","StNeed","-","data-privacy-counsel","H","-","-","Pre-A","-","RSK-TEC-006","high","DPIA bocciata dal Garante → sospensione UC-001/002 Pentema"
"StNeed-009","Regione + Enti Parco + comunità: propulsione elettrica/solare, materiali low-impact, rumore <65 dB(A)","Sostenibilità + minimo impatto ambientale","Reg. UE 2019/945 + ISO 14001 + DGR sostenibilità","StNeed","-","esg-sustainability-officer","H","-","-","Pre-A","-","-","high","Rumore misurato >65 dB(A) a 100m → revisione propulsione/profilo"
"StNeed-010","Firmamento + Regione + PC: disponibilità ≥80% giorni/anno + reazione emergenza ≤4h","SLA operativi PA + servizi essenziali","SLA tipici PC + servizi essenziali","StNeed","-","vtol-uas-specialist","H","-","-","Pre-A","-","RSK-OPS-001","medium","Uptime Y1 <60% → re-baseline SLA + revisione contratti"
