"ID","Description","Rationale","Source","Type","Parent","Owner_agent","Priority","VV_Method","VV_Status","Phase","Trade_Study","Risk","Confidence","Falsifying_Observation"
"StNeed-029","Ente Parco Antola + Rete Natura 2000 IT1331402 + comunità Pentema: rispetto integrale dei vincoli ambientali del Parco Naturale Regionale dell'Antola (L.R. Liguria 12/1995) e della Rete Natura 2000 (SIC/ZSC/ZPS IT1331402 Parco Antola) durante missioni VTOL 6A, con accettabilità sociale dimostrabile (no opposizione formale comunità Pentema o Ente Parco in audit pubblico Y1)","Vincolo ambientale di legittimazione operativa Y1 + rischio reputazionale e regolatorio (RSK-AMB-001/002/003 + RSK-REG-011). L'area Pentema ricade interamente in Parco Antola + parzialmente in SIC IT1331402 (zona umida Brugneto, faggete vetuste, habitat aquila reale). Assenza di vincoli rispettati = rifiuto convenzione operativa Ente Parco = blocco operatività Y1","Workshop Ente Parco Antola M+6 (atteso) + A.12 VIA Preliminare v2.0 §A.12.3-A.12.4 + DPR 357/1997 art.5 (Valutazione di Incidenza) + L.R. Liguria 12/1995 (Parchi Regionali)","StNeed","-","esg-sustainability-officer","H","-","-","Pre-A","-","RSK-AMB-001,RSK-AMB-002,RSK-AMB-003,RSK-REG-011","medium","Ente Parco Antola rifiuta firma Convenzione operativa entro M+9 (target M+12 latest) OPPURE comunità Pentema esprime opposizione formale documentata (delibera assemblea, raccolta firme, esposto pubblico) → re-design operativo (relocate sito pilota su altra frazione SNAI non in Parco) + revisione boundary B1 (cooperative + territorio) + escalation gate G2 condizionato"
"SyR-NF-AMB-001","Sistema [6A] deve operare in conformità integrale ai vincoli ambientali del Parco Naturale Regionale dell'Antola (L.R. Liguria 12/1995) e della Rete Natura 2000 SIC/ZSC/ZPS IT1331402, includendo: (a) buffer operativo ≥500 m da nidi noti di specie Allegato I Direttiva Uccelli 2009/147/CE (aquila reale, gufo reale, pellegrino, biancone), buffer estendibile a 1000 m per aquila reale durante periodo nidificazione; (b) quota minima di volo ≥200 m AGL su perimetro SIC (vs minimo regolamentare 120 m da Reg.UE 2019/947), con eccezione operazioni Protezione Civile in emergenza documentata; (c) restrizione operativa con riduzione +30% missioni programmate nel periodo marzo-luglio in corridoi sopra zone di nidificazione note; (d) monitoraggio acustico ante-operam (baseline M+10) + post-operam (M+12) in almeno 3 punti rappresentativi del territorio operativo (Pentema centro, perimetro Diga Brugneto, faggeta vetusta Monte Antola). Conformità verificata via audit ambientale annuale congiunto con Ente Parco Antola + ARPAL","Soddisfare StNeed-029 + integrare requisito non-funzionale ambientale identificato da refinement A.12 VIA v2.0 (batch 2 M+3). Apre nuova famiglia SyR-NF (Non-Functional / Environmental) coerente con NASA SE Handbook §4.2.3 (requisiti non-funzionali quality-of-service). Mitigazione diretta RSK-AMB-001 (residual da 12 a 6 con applicazione completa)","StNeed-029 + A.12 VIA Preliminare v2.0 §A.12.6 mitigazioni + DPR 357/1997 art.5 + L.R. Liguria 12/1995 + Direttiva Uccelli 2009/147/CE","SyR","StNeed-029,Boundary B1","esg-sustainability-officer","H","I+A+T","Open","Pre-A","-","RSK-AMB-001,RSK-AMB-002,RSK-AMB-003","medium","Audit ambientale annuale Y1 rileva: (1) violazione buffer 500 m da nido noto durante missione operativa registrata in log volo, OPPURE (2) operazione documentata a quota <200 m AGL su perimetro SIC senza giustificazione Protezione Civile documentata, OPPURE (3) misura fonometrica post-operam in 1+ dei 3 punti monitorati supera baseline +5 dB(A) Leq,d (proxy disturbo rilevante) → sospensione operativa entro 7 giorni + revisione mission planner geofence + escalation Ente Parco entro 15 giorni + revisione SyR-NF-AMB-001 + potenziale upgrade RSK-AMB-001 a RED"
"SsR-OPS-AMB-001","[6A] Mission planner software deve includere modulo geofence ambientale con: (1) layer GIS poligonale del Parco Antola + perimetro SIC IT1331402 (sorgente: Ente Parco Antola formato shapefile/GeoPackage); (2) buffer dinamici 500 m / 1000 m attorno a nidi noti (mappa nidi confidenziale Ente Parco, lettura da database locale criptato, no upload cloud); (3) regola hard-block che impedisca submission di mission plan con waypoint o corridoio entro buffer; (4) quota minima 200 m AGL enforced su perimetro SIC con vincolo soft (warning + override solo PIC con autorizzazione operativa documentata); (5) calendar-aware restriction marzo-luglio con flag +30% missioni cautelativo","Decomposizione operativa SyR-NF-AMB-001 (lett. a, b, c) a livello ground segment / mission planning. Allocazione coerente con SsR-GS-006 (mission planning software) che viene esteso. Mitigazione preventiva RSK-AMB-001 ed RSK-REG-011 (no submission piano operativo non conforme)","SyR-NF-AMB-001","SsR","SyR-NF-AMB-001","esg-sustainability-officer","H","D+I","Open","Phase A","-","RSK-AMB-001","medium","Demo mission planner M+10 fallisce in scenario test: (a) sistema accetta mission plan con waypoint dentro buffer 500 m da nido test, OPPURE (b) sistema non blocca quota <200 m AGL su SIC senza override PIC, OPPURE (c) layer GIS Parco Antola non caricato/aggiornato dal feed Ente Parco → re-spec software mission planner + ritardo handover operativo 2-3 mesi"
"SsR-AVI-AMB-001","[6A] Flight Control System (FCS) deve enforce vincolo di quota minima 200 m AGL durante traversata di poligoni SIC marcati nel terrain database avionico (layer GIS sincronizzato con mission planner SsR-OPS-AMB-001). Eccezione operazioni Protezione Civile autorizzata via parametro safety override attivabile solo da PIC con log autorizzazione tracciabile. Comportamento atteso: in caso di scostamento verticale automatico verso quota <200 m AGL su SIC (es. wind gust, payload mass shift), FCS attiva manovra correttiva climb automatica entro 10 secondi","Decomposizione tecnica SyR-NF-AMB-001 (lett. b) a livello avionica/FCS. Difesa-in-profondità rispetto a SsR-OPS-AMB-001 (geofence ground-side): il vincolo è enforced anche in flight a prescindere dal mission plan caricato. Coerente con SsR-AVI-006 (geofence avionica VTOL)","SyR-NF-AMB-001","SsR","SyR-NF-AMB-001","avionics-gnc-engineer","H","T","Open","Phase A","-","RSK-AMB-001","medium","Test in volo Phase A registra: (a) drift verticale a <200 m AGL su poligono SIC senza correzione FCS entro 15 secondi, OPPURE (b) override safety attivato senza log tracciabile, OPPURE (c) terrain database avionico fuori sync rispetto a layer GIS mission planner → re-spec FCS firmware + ritardo qualifica autopilota 1-2 mesi"
"SsR-DAT-AMB-001","[6A] Sistema di logging volo (telemetria + payload metadata) deve produrre tracciato di conformità ambientale post-missione con: (1) export automatico di trajectory + quota AGL + timestamp + ID missione in formato GeoJSON/KML; (2) flag automatici di prossimità a buffer ambientali (warning se traiettoria registrata entro 600 m da nido noto o quota <220 m AGL su SIC, soglia +10% di sicurezza); (3) report di conformità annuale aggregato pronto per audit Ente Parco Antola + ARPAL (formato PDF + dati grezzi CSV); (4) retention log volo minimo 5 anni in cloud sovrano UE (NegR-Geo-001 + NegR-Tech-003 compliant)","Decomposizione data-governance SyR-NF-AMB-001 (verifica VR-AMB-01 audit annuale). Senza tracciabilità ex-post automatica non è possibile dimostrare conformità in audit. Coerente con SsR-GS-002 (data hosting sovrano UE) + SsR-GS-003 (anonimizzazione + retention)","SyR-NF-AMB-001","SsR","SyR-NF-AMB-001","data-privacy-counsel","M","I+D","Open","Phase A","-","RSK-AMB-001","medium","Audit M+12 rileva: (a) report di conformità annuale non producibile automaticamente (richiede riproc. manuale), OPPURE (b) log volo storici non retrievabili a 5 anni in formato esportabile, OPPURE (c) cloud retention non in giurisdizione UE (violazione NegR-Geo-001) → re-spec data pipeline + remediation 30-60 giorni + escalation NegR-Geo-001 audit"
"NegR-AMB-016","Sistema NON deve sorvolare nidi noti di avifauna Allegato I Direttiva Uccelli 2009/147/CE (aquila reale, gufo reale, pellegrino, biancone) entro raggio 500 m (1000 m per aquila reale) durante stagione riproduttiva marzo-luglio, indipendentemente dalla quota di volo. Eccezione ammessa solo per operazioni di Protezione Civile in emergenza vita-umana documentata, con notifica ex-post Ente Parco Antola entro 48h","Boundary ambientale derivato da SyR-NF-AMB-001 + StNeed-029. Espliciterebbe il vincolo come negative requirement perché la violazione è binaria (compie / non compie) e ha conseguenze regolatorie immediate (revoca Convenzione Ente Parco + sanzioni L.R. 12/1995 art.27 fino a €15.000)","SyR-NF-AMB-001 + A.12 VIA v2.0 §A.12.6 + Direttiva Uccelli 2009/147/CE + DPR 357/1997","NegR","SyR-NF-AMB-001","esg-sustainability-officer","High","I (audit log volo + verifica geofence trimestrale)","Active","All phases","-","RSK-AMB-001","medium","Log volo trimestrale rileva traiettoria registrata entro buffer 500 m / 1000 m da nido noto in periodo mar-lug senza giustificazione PC documentata → violazione NegR-AMB-016 + notifica obbligatoria Ente Parco entro 7 giorni + revisione mission planner geofence + waiver formale per missioni residue stagione + escalation gate G3"
"VR-AMB-01","Verify SyR-NF-AMB-001 + NegR-AMB-016 by Inspection: audit ambientale annuale congiunto con Ente Parco Antola + ARPAL su log volo Y1 (M+12), checklist conformità ai 4 vincoli (a/b/c/d) + verifica integrità mission planner geofence + verifica retention log + sample inspection 10% missioni stagione critica mar-lug","V&V plan per SyR-NF-AMB-001 conformità ambientale annuale (NASA SE §5.3 Inspection). Coerente con piano monitoring §A.12.6 della VIA v2.0","SyR-NF-AMB-001,NegR-AMB-016","VR","SyR-NF-AMB-001","V&V engineer + esg-sustainability-officer","H","I","Planned","Phase A","-","RSK-AMB-001","medium","Audit M+12 rileva non-conformità in 1+ dei 4 vincoli con evidenza documentale (log volo, mission plan storici, report fonometrico) → SyR-NF-AMB-001 fails + remediation entro 90 giorni + escalation Risk Register RSK-AMB-001 da YELLOW a RED + revisione Convenzione operativa Ente Parco"
"VR-AMB-02","Verify SyR-NF-AMB-001 (lett. d monitoraggio acustico) by Test: campagna fonometrica baseline ante-operam M+10 (pre-handover operativo) + post-operam M+12 in 3 punti rappresentativi (Pentema centro, perimetro Diga Brugneto, faggeta vetusta M.Antola). Strumentazione classe 1 IEC 61672. Indicatori: Leq,d (giorno), Leq,n (notte se applicabile), Lmax single-event durante passaggio VTOL. Soglia di accettabilità: incremento Leq,d ante→post ≤ +3 dB(A) (soglia conservativa rispetto a +5 dB(A) di trigger falsifying observation SyR-NF-AMB-001)","V&V plan per SyR-NF-AMB-001 monitoring acustico (NASA SE §5.3 Test). Strumentazione e indicatori coerenti con piano monitoring §A.12.6 VIA v2.0 e con classificazione acustica Comune Torriglia Zona I (Aree Protette) Decreto Min. 16.03.1998","SyR-NF-AMB-001","VR","SyR-NF-AMB-001","V&V engineer + ARPAL contractor","M","T","Planned","Phase A","-","RSK-AMB-001","medium","Campagna fonometrica M+12 rileva delta Leq,d post-operam > +3 dB(A) in 1+ dei 3 punti misura, OPPURE Lmax single-event >55 dB(A) in Zona I → revisione profilo missione (quota cruise, traiettoria, profilo VTOL) + ripetizione monitoring +6 mesi + comunicazione formale Ente Parco + ARPAL + valutazione downgrade flotta acustica VTOL"
"Link-001","Traceability: StNeed-029 -> SyR-NF-AMB-001","Coverage tracking","RTM v1.5 delta","Link","StNeed-029,SyR-NF-AMB-001","-","-","-","-","-","-","-","high","-"
"Link-002","Traceability: SyR-NF-AMB-001 -> SsR-OPS-AMB-001","Decomposition tracking","RTM v1.5 delta","Link","SyR-NF-AMB-001,SsR-OPS-AMB-001","-","-","-","-","-","-","-","high","-"
