"id","categoria","descrizione","trigger","P","I","score","color","status","owner","response","mitigation","residual_P","residual_I","residual_score","phase","confidence","last_review","ewi","falsifying_observation","top10_flag"
"RSK-TEC-001","Tecnico","Energy balance HALE inverno 44N - deficit -50% confermato da simulazione (vs +0-15% stima a mano)","Simulazione 365gg M+3 mostra -50.1% margin solstizio dic; perennial flight NON fattibile baseline 2026-28","5","5","25","RED","Showstopper","propulsion-energy-engineer","Mitigate","Plan A obbligato E5 'Seasonal-only mar-ott' (~7 mesi). Plan B Y6+: migrazione SS Li 450 Wh/kg o PEM+LH2. Plan C: ridimensionamento R&D-only fino tech 2030+","5","4","20","Y3-Y5 (Phase B 6B)","high","2026-05-17","Sim. allegato A.7 + monthly clear-sky variability + LiS pack TRL update trimestrale","Se al gate G5 (M+24) sim. con dati operativi reali conferma deficit >30% giorni anche scenario E5, Percorso 6B terminato come operativo perennial","Y"
"RSK-FIN-001","Finanziario","Mancanza commitment funding Phase B 6B - 5.5-13.5M EUR mix EDF+Horizon+PNRR+equity","Gate G5 M+24 mostra funding mix Phase B < 30%","4","5","20","RED","Showstopper","financial-cfo + sovereign-strategist","Mitigate","Mix funding: EDF (DG DEFIS) + Horizon Europe + PNRR Aerospazio + Series B equity (CDP, EIB); fasi graduali; partnership prime per cost sharing","3","4","12","Y2-Y3 (gate G5)","medium-high","2026-05-17","Calendar bandi EDF/Horizon + Series B pipeline + LoI investitori","Se al gate G5 funding < 30% committed, DEFER 6B a M+36 con re-review; se < 15%, Hold permanente fino 2030+","Y"
"RSK-REG-001","Regolatorio","Mancanza framework HAPS EASA/ENAC - no Special Condition aperto HALE solare civile","EASA non apre RMT HAPS nel calendario 2026-2028; ENAC non rilascia AMC HAPS","5","4","20","RED","Showstopper","aviation-regulatory + sovereign-strategist","Mitigate","Engagement EASA Innovation Network + consortium CIRA/TAS per Special Condition collettiva; partecipazione ASD-Eurospace HAPS WG; lobby DG MOVE/DG DEFIS","4","4","16","Y3-Y6 (Phase B/C)","high","2026-05-17","EASA RMT calendar (semestrale) + Special Condition published + ASD-Eurospace minutes","Se al gate G5 (M+24) RMT HAPS non aperto e nessuna Special Condition in dialogo formale, Phase B 6B sospesa fino 2028+","Y"
"RSK-HR-002","Risorse Umane","Reclutamento CISO + DPO + Head Regulatory - 3 ruoli senior in mercato compresso","Tempo hire > 9 mesi (vs target 3-6 mesi)","4","4","16","RED","Open-Critical","HR + CEO","Mitigate","Headhunter specializzati; contratti competitivi (180-220k EUR/anno per CISO senior); part-time fractional CISO/DPO M+0-6; partnership consulting Legal/Cyber","3","3","9","Y0-Y1","medium","2026-05-17","Hire pipeline weekly + headhunter pipeline status","Se ruoli senior non riempiti M+9, NIS2/Part-IS compliance a rischio + cap.OpEx esplode con consulting fees","Y"
"RSK-REG-008","Regolatorio","EASA Part-21 design organisation approval (DOA) - richiesto per HALE Phase C","Transition Phase B->C richiede DOA accreditata o partner con DOA","4","4","16","RED","Open-High","aviation-regulatory + systems-engineer","Mitigate","Partnership con DOA esistente (Leonardo, Tekever, AALTO) per Phase C; preparazione DOA Firmamento Y5+","3","3","9","Y5+","medium","2026-05-17","DOA holders pubblicati EASA + partnership negotiation status","","N"
"RSK-REG-018","Regolatorio","EUROCONTROL Network Manager - coordinamento ATM-ANS HAPS FL400+ EU airspace","EUROCONTROL non rilascia procedure operative HAPS perennial entro Y4-Y5","4","4","16","RED","Open-Critical","avionics-gnc-engineer + aviation-regulatory","Mitigate","Engagement EUROCONTROL precocemente (Y2-Y3); partecipazione workshop UAM/HAPS Network Manager; contributo definizione procedure","3","3","9","Y3+","medium","2026-05-17","EUROCONTROL Network Manager workplan + HAPS procedure pubblicate","Se EUROCONTROL declina procedure HAPS perennial entro Y5, operativita cross-border bloccata; ridimensionamento operazioni IT-only","Y"
"RSK-REG-019","Regolatorio","Part-IS EASA Reg.UE 2023/203 - ISMS obbligatorio da feb 2026, CISO assente","Audit ENAC Part-IS rileva non-conformita sostanziali ISMS","4","4","16","RED","Open-Critical","aviation-regulatory + CISO (new)","Mitigate","Assunzione CISO entro M+6; ISMS implementazione entro M+9; certificazione ISO/IEC 27001 entro M+12; audit interno + pre-audit ENAC","3","3","9","Y1 (M+0 → M+12) urgente","high","2026-05-17","CISO hire date + ISMS gap analysis + ISO 27001 cert progress","Se al M+9 ISMS non implementato, ENAC sospende operazioni commerciali continuative fino remediation","Y"
"RSK-REG-021","Regolatorio","AgID/PSN hosting dati PA - cloud non qualificato blocca contratti Regione/PC","Verifica AgID al M+9 rivela cloud Aruba/OVH non PSN-qualified per livello criticita","4","4","16","RED","Open-Critical","data-privacy + IT + DPO","Mitigate","Migrazione provider PSN-qualified (TIM Enterprise, Polo PSN, CDP Cloud) o cloud qualificato AgID (Aruba qualified, Engineering, Reply, Almaviva); audit AgID compliance","2","3","6","Y1+","high","2026-05-17","AgID qualifica list update + audit compliance internal","Se al M+9 dati Pentema non in cloud PSN-qualified, contratti PA pluriennali rifiutati","Y"
"RSK-REG-025","Regolatorio","Affidamento PA art.50 D.Lgs.36/2023 - contratto Regione > 140k EUR richiede gara","Regione Liguria contratto pluriennale > 300k EUR bocciato fase amministrativa","4","4","16","RED","Open-Critical","snai-funding + legal + business-model","Mitigate","Pre-engagement Regione + accordo quadro (art.59 D.Lgs.36); partnership Coopfond come veicolo non-gara; accordi di programma SNAI; gara con specificita tecniche Firmamento-friendly","3","3","9","Y0+","high","2026-05-17","Bando Regione pubblicato + legal review procedura","Se contratto Regione bocciato per gara, rinvio M+6-12 + competitor risk (Leonardo, Telespazio)","Y"
"RSK-REG-027","Regolatorio","NIS2 D.Lgs.138/2024 - registrazione ACN omessa, sanzioni fino 10M EUR / 2% fatturato","Firmamento classificata 'soggetto essenziale' senza registrazione entro 30gg","4","4","16","RED","Open-Critical","CISO (new) + legal","Mitigate","Registrazione preventiva ACN entro M+1; ISMS Part-IS allineato; notifica incidenti 24h procedure","2","3","6","Y0+ immediato","high","2026-05-17","ACN classification notice + sanction publications","Se incidente cyber senza registrazione, sanzione amministrativa + reputazione + esclusione bandi PA","Y"
"RSK-REG-030","Regolatorio","ENAV procedure FL400+ - HAPS perennial sopra FL400/FL650 senza procedure dedicate","ENAV declina procedure HAPS perennial entro Y4","4","4","16","RED","Open-Critical","avionics + sovereign-strategist + aviation-regulatory","Mitigate","Engagement ENAV precoce (Y2); contributo definizione procedure standard EUROCONTROL; testing spazio aereo segregato (Sardinia, GATB Apulia)","3","3","9","Y3+","medium-high","2026-05-17","ENAV operational instruction + AIP Italy SUP HAPS","Se ENAV declina procedure entro Y5, operativita italiana 6B bloccata; ridimensionamento test bed estero","Y"
"RSK-SUP-003","Supply Chain","Batterie LiS - capacity allocation Northvolt/Italvolt incerta","Northvolt bankruptcy o Italvolt ritardo > 2 anni production","4","4","16","RED","Open-High","propulsion-energy-engineer + supply-chain","Mitigate","Multi-vendor LiS pipeline (Oxis Energy heir, Lyten, NexTech); custom pack assembly con cell suppliers diversi","3","3","9","Y3+","medium","2026-05-17","Battery vendors financials + production timelines","","N"
"RSK-TEC-003","Tecnico/Regolatorio","Type Certification HALE timeline > 5 anni - no precedente HALE solare civile EU con TC emesso","EASA non apre RMT HAPS o Special Condition path entro 2028","4","4","16","RED","Showstopper","aviation-regulatory + sovereign-strategist","Mitigate+Accept","Parallel approach: ops 6A genera revenue + esperienza mentre TC HALE matura. Engagement EASA Innovation Network + consortium CIRA/TAS per Special Condition collettiva","4","3","12","Y4-Y8","medium-high","2026-05-17","EASA RMT HAPS calendar + advisory bodies pubblicazioni + AALTO/Skydweller TC progress","Se a Y5 (M+60) EASA non ha aperto RMT HAPS, Percorso 6B operativo commerciale rinviato a Y8+, scenario No-Go pieno se anche window IRIS2 chiusa","Y"
"RSK-TEC-016","Tecnico","NTN payload winter unsustainable - margin -58.9% con P_payload 500 W (scenario E5)","Simulazione M+3 (DR-014) conferma deficit anche con payload pulse-mode","4","4","16","RED","Open-Critical","propulsion-energy-engineer + telecom-ntn-payload-expert","Mitigate","NTN seasonal-only + payload pulse-mode duty-cycle < 30% + dedicated battery bank NTN","3","3","9","Y4-Y5","medium-high","2026-05-17","Sim. allegato A.7 update; product roadmap 5G NTN bypass requirements","","N"
"RSK-FIN-004","Finanziario","OpEx Y1 underestimato - +450-800k EUR per 3 FTE regulatory (CISO+DPO+Head Reg.Aff)","Audit regulatory M+3 rivela 3 FTE addizionali non-budget","5","3","15","RED","Open-Critical","financial-cfo","Mitigate","Aggiornamento Cap.8 OpEx Y1 con +450-800k EUR fixed cost; revisione mix funding equity Series A; cost sharing su CISO/DPO via partnership cooperative","4","2","8","Y0-Y1","high","2026-05-17","FTE hire pipeline + payroll forecast","","Y"
"RSK-TEC-002","Tecnico","Aeroelasticita ala high-AR (AR>=25) - flutter, divergenza, instabilita non lineare","Analisi aeroelastica preliminare M+12 mostra flutter speed < 1.3x Vdive o divergenza < 1.5x Vc","3","5","15","RED","Showstopper","aero-structures-engineer","Mitigate","Aeroelastic analysis non-lineare (NASTRAN+ZAERO o MSC.Nastran SOL145) + GVT (Ground Vibration Test) + flight test subscale + winglet/passive damping design. Tilted spar caps + balance mass.","2","4","8","Y3-Y4 (Phase B 6B)","medium-high","2026-05-17","Output FEA aeroelastico subscale + risultati GVT + base rate Helios/PHASA flutter events","Se subscale flight test M+18-24 mostra divergence o flutter sotto envelope, ridisegno radicale ala richiesto - costo +1-2M EUR + delay 6-12 mesi","Y"
"RSK-TEC-015","Tecnico","Riduzione TRL gap M+24 - integrato HALE subsystem critici < TRL 5","Gate G5 review M+24 mostra TRL integrato propulsione/avionica/payload < 5","3","5","15","RED","Open-Critical","systems-engineer + propulsion-energy-engineer","Mitigate","Roadmap TRL puntuale per sottosistema + milestone trimestrali + partnership prime per acceleration TRL (DR-013 finding)","3","4","12","Y3 (gate G5)","medium","2026-05-17","TRL milestone tracker + subsystem demo report + partnership signed","Se TRL gap > 2 a M+24, Phase C-D non finanziabile; ridimensionamento seasonal-only + R&D-only mode","N"
"RSK-FIN-005","Finanziario","Slittamento grant FESR/PNRR - tempi PA italiani median 18-30 mesi","Grant FESR Liguria comunicato slittato > 12 mesi vs piano","4","3","12","YELLOW","Open-High","financial-cfo + snai-funding","Mitigate","Bridge financing (banca + founder); pipeline grant multiple parallele; flessibilita timeline progetto","3","2","6","Y1-Y3","high","2026-05-17","Grant decisional timeline tracking + Regione comunicazioni","","N"
"RSK-FIN-006","Finanziario","WACC effettivo > 18% se grant mix < 30% - NPV diventa negativo (sensitivity Cap.8)","Grant mix committed < 30% al M+12","3","4","12","YELLOW","Open-High","financial-cfo","Mitigate","Pricing premium servizi + cost optimization OpEx; renegotiate equity terms; cost-shared infrastructure con cooperative","2","3","6","Y1-Y3","medium-high","2026-05-17","Grant commitment % monthly + NPV sensitivity update","","N"
"RSK-FIN-008","Finanziario","Cash flow gap Y2-Y3 - revenue ramp lento vs OpEx fixed","Revenue Y2 < 500k EUR (50% target)","3","4","12","YELLOW","Open-High","financial-cfo + business-model","Mitigate","Bridge financing Series A; cost flex su FTE variable; contratti pluriennali Regione anticipated payment","2","3","6","Y2-Y3","medium","2026-05-17","Revenue actuals monthly + cash burn rate","","N"
"RSK-FIN-009","Finanziario","Series A non chiude (Y2) - valutazione investitori < 8M EUR pre-money","Valutazione Series A < 5M EUR o tempi > 12 mesi","3","4","12","YELLOW","Open-High","financial-cfo + CEO","Mitigate","Investor relations pipeline (CDP Venture, EIC Fund, BPER); milestone-based bridge financing; alternative grant heavy mix","2","3","6","Y2","medium","2026-05-17","Investor meetings pipeline + comparable Series A aerospace IT","","N"
